,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
324,4. Jaws,1975,PG,2h 4m,Mystery,8.1 (665K),87,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",(665K)
325,5. The Green Mile,1999,R,3h 9m,Mystery,8.6 (1.4M),61,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",(1.4M)
326,6. Blade Runner 2049,2017,R,2h 44m,Mystery,8.0 (674K),81,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",(674K)
327,7. Shutter Island,2010,R,2h 18m,Mystery,8.2 (1.5M),63,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",(1.5M)
328,8. Gone Girl,2014,R,2h 29m,Mystery,8.1 (1.1M),79,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",(1.1M)
329,9. Se7en,1995,R,2h 7m,Mystery,8.6 (1.8M),65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",(1.8M)
330,10. The Prestige,2006,PG-13,2h 10m,Mystery,8.5 (1.5M),66,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",(1.5M)
331,11. Apocalypse Now,1979,R,2h 27m,Mystery,8.4 (715K),94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,(715K)
332,12. Prisoners,2013,R,2h 33m,Mystery,8.2 (818K),70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",(818K)
333,13. Incendies,2010,R,2h 11m,Mystery,8.3 (205K),80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,(205K)
334,14. The Others,2001,PG-13,1h 44m,Mystery,7.6 (396K),74,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",(396K)
335,15. Oldboy,2003,R,2h,Mystery,8.3 (642K),78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",(642K)
336,16. Sicario,2015,R,2h 1m,Mystery,7.7 (482K),82,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,(482K)
337,17. The Sixth Sense,1999,PG-13,1h 47m,Mystery,8.2 (1.1M),64,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",(1.1M)
338,18. The Usual Suspects,1995,R,1h 46m,Mystery,8.5 (1.2M),76,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,(1.2M)
339,19. The Thing,1982,R,1h 49m,Mystery,8.2 (471K),57,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,(471K)
340,20. Spirited Away,2001,PG,2h 5m,Mystery,8.6 (858K),96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",(858K)
341,21. Chinatown,1974,R,2h 10m,Mystery,8.1 (352K),92,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",(352K)
342,22. Knives Out,2019,PG-13,2h 10m,Mystery,7.9 (781K),82,"A detective investigates the death of the patriarch of an eccentric, combative family.",(781K)
343,23. Blue Velvet,1986,R,2h,Mystery,7.7 (217K),75,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",(217K)
344,24. Donnie Darko,2001,R,1h 53m,Mystery,8.0 (855K),88,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",(855K)
345,25. Coco,2017,PG,1h 45m,Mystery,8.4 (599K),81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",(599K)
346,1. Poor Things,2023,R,2h 21m,Romance,7.9 (281K),88,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",(281K)
347,2. Titanic,1997,PG-13,3h 14m,Romance,7.9 (1.3M),75,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",(1.3M)
348,3. Forrest Gump,1994,PG-13,2h 22m,Romance,8.8 (2.3M),82,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",(2.3M)
349,4. The Notebook,2004,PG-13,2h 3m,Romance,7.8 (626K),53,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,(626K)
350,5. Killers of the Flower Moon,2023,R,3h 26m,Romance,7.6 (250K),89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",(250K)
