,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
0,1. Inside Out 2,2024,PG,1h 36m,Adventure,7.9 (56K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",(56K)
1,2. Furiosa: A Mad Max Saga,2024,R,2h 28m,Adventure,7.7 (116K),79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,(116K)
2,3. Inside Out,2015,PG,1h 35m,Adventure,8.1 (804K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",(804K)
3,4. Mad Max: Fury Road,2015,R,2h,Adventure,8.1 (1.1M),90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",(1.1M)
4,5. Dune: Part Two,2024,PG-13,2h 46m,Adventure,8.6 (465K),79,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,(465K)
5,6. Godzilla Minus One,2023,PG-13,2h 4m,Adventure,7.7 (129K),81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",(129K)
6,7. Dune,2021,PG-13,2h 35m,Adventure,8.0 (884K),74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,(884K)
7,8. Interstellar,2014,PG-13,2h 49m,Adventure,8.7 (2.1M),74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",(2.1M)
8,9. Harry Potter and the Sorcerer's Stone,2001,PG,2h 32m,Adventure,7.6 (862K),65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",(862K)
9,10. The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,Adventure,8.9 (2M),92,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,(2M)
10,11. Inception,2010,PG-13,2h 28m,Adventure,8.8 (2.6M),74,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",(2.6M)
11,12. Gladiator,2000,R,2h 35m,Adventure,8.5 (1.6M),67,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,(1.6M)
12,13. Mission: Impossible - Dead Reckoning Part One,2023,PG-13,2h 43m,Adventure,7.7 (255K),81,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,(255K)
13,14. Avengers: Endgame,2019,PG-13,3h 1m,Adventure,8.4 (1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",(1.3M)
14,15. Back to the Future,1985,PG,1h 56m,Adventure,8.5 (1.3M),87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",(1.3M)
15,16. Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,Adventure,8.1 (1.2M),63,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",(1.2M)
16,17. Jaws,1975,PG,2h 4m,Adventure,8.1 (665K),87,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",(665K)
17,18. The Lion King,1994,G,1h 28m,Adventure,8.5 (1.2M),88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",(1.2M)
18,19. Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,Adventure,8.6 (383K),86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",(383K)
19,20. The Princess Bride,1987,PG,1h 38m,Adventure,8.0 (453K),78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",(453K)
20,21. Inglourious Basterds,2009,R,2h 33m,Adventure,8.4 (1.6M),69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",(1.6M)
21,22. The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,Adventure,9.0 (2M),94,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,(2M)
22,23. Jurassic Park,1993,PG-13,2h 7m,Adventure,8.2 (1.1M),68,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,(1.1M)
23,24. Spider-Man: No Way Home,2021,PG-13,2h 28m,Adventure,8.2 (891K),71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",(891K)
24,25. Mad Max 2: The Road Warrior,1981,R,1h 36m,Adventure,7.6 (200K),77,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits.",(200K)
25,1. Inside Out 2,2024,PG,1h 36m,Animation,7.9 (56K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",(56K)
26,2. Inside Out,2015,PG,1h 35m,Animation,8.1 (804K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",(804K)
27,3. The Lion King,1994,G,1h 28m,Animation,8.5 (1.2M),88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",(1.2M)
28,4. Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,Animation,8.6 (383K),86,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",(383K)
29,5. Up,2009,PG,1h 36m,Animation,8.3 (1.1M),88,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",(1.1M)
30,6. Ratatouille,2007,G,1h 51m,Animation,8.1 (835K),96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,(835K)
31,7. Spirited Away,2001,PG,2h 5m,Animation,8.6 (858K),96,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",(858K)
32,8. Coco,2017,PG,1h 45m,Animation,8.4 (599K),81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",(599K)
33,9. Shrek,2001,PG,1h 30m,Animation,7.9 (741K),84,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",(741K)
34,10. The Incredibles,2004,PG,1h 55m,Animation,8.0 (816K),90,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",(816K)
35,11. Toy Story,1995,G,1h 21m,Animation,8.3 (1.1M),96,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,(1.1M)
36,12. Kung Fu Panda,2008,PG,1h 32m,Animation,7.6 (528K),74,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",(528K)
37,13. Zootopia,2016,PG,1h 48m,Animation,8.0 (552K),78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",(552K)
38,"14. Monsters, Inc.",2001,G,1h 32m,Animation,8.1 (987K),79,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",(987K)
39,15. Howl's Moving Castle,2004,PG,1h 59m,Animation,8.2 (455K),82,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",(455K)
40,16. Finding Nemo,2003,G,1h 40m,Animation,8.2 (1.1M),90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",(1.1M)
41,17. Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,Animation,8.4 (680K),87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,(680K)
42,18. WALL·E,2008,G,1h 38m,Animation,8.4 (1.2M),95,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",(1.2M)
43,19. Tangled,2010,PG,1h 40m,Animation,7.7 (499K),71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",(499K)
44,21. Soul,2020,PG,1h 40m,Animation,8.0 (385K),83,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",(385K)
45,22. The Lego Movie,2014,PG,1h 40m,Animation,7.7 (391K),83,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",(391K)
46,23. Puss in Boots: The Last Wish,2022,PG,1h 42m,Animation,7.8 (180K),73,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",(180K)
47,24. Coraline,2009,PG,1h 40m,Animation,7.7 (266K),80,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",(266K)
48,25. Who Framed Roger Rabbit,1988,PG,1h 44m,Animation,7.7 (218K),83,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence.",(218K)
49,1. Oppenheimer,2023,R,3h,Biography,8.3 (763K),90,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,(763K)
50,2. The Wolf of Wall Street,2013,R,3h,Biography,8.2 (1.6M),75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",(1.6M)
51,3. Schindler's List,1993,R,3h 15m,Biography,9.0 (1.5M),95,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",(1.5M)
52,5. Goodfellas,1990,R,2h 25m,Biography,8.7 (1.3M),92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",(1.3M)
53,6. Tombstone,1993,R,2h 10m,Biography,7.8 (168K),50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.",(168K)
54,7. Green Book,2018,PG-13,2h 10m,Biography,8.2 (581K),69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,(581K)
55,8. Ford v Ferrari,2019,PG-13,2h 32m,Biography,8.1 (484K),81,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,(484K)
56,9. Braveheart,1995,R,2h 58m,Biography,8.3 (1.1M),68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,(1.1M)
57,10. Hidden Figures,2016,PG,2h 7m,Biography,7.8 (258K),74,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,(258K)
58,11. The Right Stuff,1983,PG,3h 13m,Biography,7.8 (66K),91,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.",(66K)
59,12. The Big Short,2015,R,2h 10m,Biography,7.8 (490K),81,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",(490K)
60,13. Amadeus,1984,PG,2h 40m,Biography,8.4 (431K),87,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",(431K)
61,14. The Social Network,2010,PG-13,2h,Biography,7.8 (764K),95,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",(764K)
62,15. Hacksaw Ridge,2016,R,2h 19m,Biography,8.1 (601K),71,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",(601K)
63,16. Bohemian Rhapsody,2018,PG-13,2h 14m,Biography,7.9 (598K),49,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",(598K)
64,17. A Beautiful Mind,2001,PG-13,2h 15m,Biography,8.2 (993K),72,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",(993K)
65,18. Catch Me If You Can,2002,PG-13,2h 21m,Biography,8.1 (1.1M),75,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",(1.1M)
66,19. The Imitation Game,2014,PG-13,1h 54m,Biography,8.0 (830K),71,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",(830K)
67,20. The Pianist,2002,R,2h 30m,Biography,8.5 (921K),85,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",(921K)
68,21. Moneyball,2011,PG-13,2h 13m,Biography,7.6 (468K),87,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,(468K)
69,22. Society of the Snow,2023,R,2h 24m,Biography,7.8 (139K),72,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,(139K)
70,23. Dark Waters,2019,PG-13,2h 6m,Biography,7.6 (106K),73,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,(106K)
71,24. The Sound of Music,1965,G,2h 52m,Biography,8.1 (263K),63,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,(263K)
72,25. Dog Day Afternoon,1975,R,2h 5m,Biography,8.0 (275K),86,"Three amateur bank robbers plan to hold up a bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",(275K)
73,1. Inside Out 2,2024,PG,1h 36m,Comedy,7.9 (56K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",(56K)
74,2. Inside Out,2015,PG,1h 35m,Comedy,8.1 (804K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",(804K)
75,3. Poor Things,2023,R,2h 21m,Comedy,7.9 (281K),88,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",(281K)
76,4. Once Upon a Time... in Hollywood,2019,R,2h 41m,Comedy,7.6 (859K),84,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way.",(859K)
77,5. The Wolf of Wall Street,2013,R,3h,Comedy,8.2 (1.6M),75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",(1.6M)
78,6. Deadpool,2016,R,1h 48m,Comedy,8.0 (1.1M),65,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",(1.1M)
79,7. The Breakfast Club,1985,R,1h 37m,Comedy,7.8 (440K),66,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.,(440K)
80,8. Back to the Future,1985,PG,1h 56m,Comedy,8.5 (1.3M),87,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",(1.3M)
81,9. The Holdovers,2023,R,2h 13m,Comedy,7.9 (152K),82,"A curmudgeonly instructor at a New England school remains on campus during Christmas break. He soon forms an unlikely bond with a brainy but damaged troublemaker, and with the school's cook, a woman who just lost a son in the Vietnam War.",(152K)
82,10. The Princess Bride,1987,PG,1h 38m,Comedy,8.0 (453K),78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",(453K)
83,11. Ferris Bueller's Day Off,1986,PG-13,1h 43m,Comedy,7.8 (390K),61,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Dean, who'll do anything to stop him.",(390K)
84,12. Ghostbusters,1984,PG,1h 45m,Comedy,7.8 (454K),71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",(454K)
85,13. Deadpool 2,2018,R,1h 59m,Comedy,7.6 (653K),66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",(653K)
86,14. The Goonies,1985,PG,1h 54m,Comedy,7.7 (300K),62,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,(300K)
87,15. Django Unchained,2012,R,2h 45m,Comedy,8.5 (1.7M),81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",(1.7M)
88,16. Everything Everywhere All at Once,2022,R,2h 19m,Comedy,7.8 (541K),81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,(541K)
89,17. The Hangover,2009,R,1h 40m,Comedy,7.7 (852K),73,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",(852K)
90,19. The Sandlot,1993,PG,1h 41m,Comedy,7.8 (104K),55,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",(104K)
91,20. Up,2009,PG,1h 36m,Comedy,8.3 (1.1M),88,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",(1.1M)
92,21. Green Book,2018,PG-13,2h 10m,Comedy,8.2 (581K),69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,(581K)
93,22. Guardians of the Galaxy Vol. 3,2023,PG-13,2h 30m,Comedy,7.9 (388K),64,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",(388K)
94,23. About Time,2013,R,2h 3m,Comedy,7.8 (391K),55,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",(391K)
95,24. Young Frankenstein,1974,PG,1h 46m,Comedy,8.0 (170K),83,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",(170K)
96,25. Ratatouille,2007,G,1h 51m,Comedy,8.1 (835K),96,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,(835K)
97,1. The Godfather,1972,R,2h 55m,Crime,9.2 (2M),100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",(2M)
98,2. The Dark Knight,2008,PG-13,2h 32m,Crime,9.0 (2.9M),84,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",(2.9M)
99,3. The Batman,2022,PG-13,2h 56m,Crime,7.8 (798K),72,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.",(798K)
100,4. The Gentlemen,2019,R,1h 53m,Crime,7.8 (408K),51,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",(408K)
101,5. Pulp Fiction,1994,R,2h 34m,Crime,8.9 (2.2M),95,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",(2.2M)
102,6. The Wolf of Wall Street,2013,R,3h,Crime,8.2 (1.6M),75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",(1.6M)
103,7. Killers of the Flower Moon,2023,R,3h 26m,Crime,7.6 (250K),89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",(250K)
104,8. No Country for Old Men,2007,R,2h 2m,Crime,8.2 (1.1M),92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,(1.1M)
105,9. Anatomy of a Fall,2023,R,2h 31m,Crime,7.7 (137K),86,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,(137K)
106,10. The Green Mile,1999,R,3h 9m,Crime,8.6 (1.4M),61,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",(1.4M)
107,11. The Silence of the Lambs,1991,R,1h 58m,Crime,8.6 (1.6M),86,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",(1.6M)
108,12. Goodfellas,1990,R,2h 25m,Crime,8.7 (1.3M),92,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",(1.3M)
109,13. Se7en,1995,R,2h 7m,Crime,8.6 (1.8M),65,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",(1.8M)
110,14. John Wick: Chapter 4,2023,R,2h 49m,Crime,7.7 (341K),78,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",(341K)
111,15. The Departed,2006,R,2h 31m,Crime,8.5 (1.4M),85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,(1.4M)
112,16. Léon: The Professional,1994,R,1h 50m,Crime,8.5 (1.3M),64,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",(1.3M)
113,17. Heat,1995,R,2h 50m,Crime,8.3 (725K),76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,(725K)
114,18. Joker,2019,R,2h 2m,Crime,8.4 (1.5M),59,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.",(1.5M)
115,19. Prisoners,2013,R,2h 33m,Crime,8.2 (818K),70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",(818K)
116,20. 12 Angry Men,1957,Approved,1h 36m,Crime,9.0 (873K),97,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,(873K)
117,21. Batman Begins,2005,PG-13,2h 20m,Crime,8.2 (1.6M),70,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",(1.6M)
118,22. Scarface,1983,R,2h 50m,Crime,8.3 (924K),65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",(924K)
119,23. Kill Bill: Vol. 1,2003,R,1h 51m,Crime,8.2 (1.2M),69,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",(1.2M)
120,24. Sicario,2015,R,2h 1m,Crime,7.7 (482K),82,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,(482K)
121,25. The Usual Suspects,1995,R,1h 46m,Crime,8.5 (1.2M),76,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,(1.2M)
122,1. Inside Out 2,2024,PG,1h 36m,Drama,7.9 (56K),73,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",(56K)
123,2. Inside Out,2015,PG,1h 35m,Drama,8.1 (804K),94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",(804K)
124,3. Oppenheimer,2023,R,3h,Drama,8.3 (763K),90,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,(763K)
125,4. Dune: Part Two,2024,PG-13,2h 46m,Drama,8.6 (465K),79,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,(465K)
126,5. Poor Things,2023,R,2h 21m,Drama,7.9 (281K),88,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",(281K)
127,6. Godzilla Minus One,2023,PG-13,2h 4m,Drama,7.7 (129K),81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",(129K)
128,7. Dune,2021,PG-13,2h 35m,Drama,8.0 (884K),74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,(884K)
129,8. The Shawshank Redemption,1994,R,2h 22m,Drama,9.3 (2.9M),82,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",(2.9M)
130,9. Interstellar,2014,PG-13,2h 49m,Drama,8.7 (2.1M),74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",(2.1M)
131,10. The Godfather,1972,R,2h 55m,Drama,9.2 (2M),100,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",(2M)
132,11. Top Gun: Maverick,2022,PG-13,2h 10m,Drama,8.2 (713K),78,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",(713K)
